发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度
20141019082946,关,关,关,30°C,0%,0,0分钟,50°C
20141019082952,关,关,关,29°C,0%,0,0分钟,50°C
20141019082958,关,关,关,30°C,0%,0,0分钟,50°C
20141019083117,关,关,关,29°C,0%,0,0分钟,50°C
20141019083123,关,关,关,30°C,0%,0,0分钟,50°C
20141019083147,关,关,关,29°C,0%,0,0分钟,50°C
20141019083153,关,关,关,30°C,0%,0,0分钟,50°C
20141019083223,关,关,关,29°C,0%,0,0分钟,50°C
20141019083236,关,关,关,30°C,0%,0,0分钟,50°C
20141019083318,关,关,关,29°C,0%,0,0分钟,50°C
20141019083324,关,关,关,30°C,0%,0,0分钟,50°C
20141019083342,关,关,关,29°C,0%,0,0分钟,50°C
20141019083354,关,关,关,30°C,0%,0,0分钟,50°C
20141019083449,关,关,关,29°C,0%,0,0分钟,50°C
20141019083501,关,关,关,30°C,0%,0,0分钟,50°C
20141019083519,关,关,关,29°C,0%,0,0分钟,50°C
20141019083531,关,关,关,30°C,0%,0,0分钟,50°C
20141019083549,关,关,关,29°C,0%,0,0分钟,50°C
20141019083555,关,关,关,30°C,0%,0,0分钟,50°C
20141019083620,关,关,关,29°C,0%,0,0分钟,50°C
20141019083626,关,关,关,30°C,0%,0,0分钟,50°C
20141019083644,关,关,关,29°C,0%,0,0分钟,50°C
20141019083650,关,关,关,30°C,0%,0,0分钟,50°C
20141019083714,关,关,关,29°C,0%,0,0分钟,50°C
20141019083726,关,关,关,30°C,0%,0,0分钟,50°C
20141019083745,关,关,关,29°C,0%,0,0分钟,50°C
20141019083751,关,关,关,30°C,0%,0,0分钟,50°C
20141019083809,关,关,关,29°C,0%,0,0分钟,50°C
20141019083821,关,关,关,30°C,0%,0,0分钟,50°C
20141019083845,关,关,关,29°C,0%,0,0分钟,50°C
20141019083851,关,关,关,30°C,0%,0,0分钟,50°C
20141019083909,关,关,关,29°C,0%,0,0分钟,50°C
20141019083922,关,关,关,30°C,0%,0,0分钟,50°C
20141019083958,关,关,关,29°C,0%,0,0分钟,50°C
20141019084004,关,关,关,30°C,0%,0,0分钟,50°C
20141019084010,关,关,关,29°C,0%,0,0分钟,50°C
20141019084022,关,关,关,30°C,0%,0,0分钟,50°C
20141019084147,关,关,关,29°C,0%,0,0分钟,50°C
20141019084159,关,关,关,30°C,0%,0,0分钟,50°C
20141019084241,关,关,关,29°C,0%,0,0分钟,50°C
20141019084253,关,关,关,30°C,0%,0,0分钟,50°C
20141019084306,关,关,关,29°C,0%,0,0分钟,50°C
20141019084330,关,关,关,30°C,0%,0,0分钟,50°C
20141019084342,关,关,关,29°C,0%,0,0分钟,50°C
20141019084348,关,关,关,30°C,0%,0,0分钟,50°C
20141019084406,关,关,关,29°C,0%,0,0分钟,50°C
20141019084412,关,关,关,30°C,0%,0,0分钟,50°C
20141019084424,关,关,关,29°C,0%,0,0分钟,50°C
20141019084439,关,关,关,30°C,0%,0,0分钟,50°C
20141019084443,关,关,关,29°C,0%,0,0分钟,50°C
20141019084455,关,关,关,30°C,0%,0,0分钟,50°C
20141019084601,关,关,关,29°C,0%,0,0分钟,50°C
20141019084607,关,关,关,30°C,0%,0,0分钟,50°C
20141019084626,关,关,关,29°C,0%,0,0分钟,50°C
20141019084644,关,关,关,30°C,0%,0,0分钟,50°C
20141019084708,关,关,关,29°C,0%,0,0分钟,50°C
20141019084714,关,关,关,30°C,0%,0,0分钟,50°C
20141019084750,关,关,关,29°C,0%,0,0分钟,50°C
20141019084756,关,关,关,30°C,0%,0,0分钟,50°C
20141019084802,关,关,关,29°C,0%,0,0分钟,50°C
20141019084808,关,关,关,30°C,0%,0,0分钟,50°C
20141019084851,关,关,关,29°C,0%,0,0分钟,50°C
20141019084903,关,关,关,30°C,0%,0,0分钟,50°C
20141019084922,关,关,关,29°C,0%,0,0分钟,50°C
20141019084927,关,关,关,30°C,0%,0,0分钟,50°C
20141019085040,关,关,关,29°C,0%,0,0分钟,50°C
20141019085058,关,关,关,30°C,0%,0,0分钟,50°C
20141019085217,关,关,关,29°C,0%,0,0分钟,50°C
20141019085229,关,关,关,30°C,0%,0,0分钟,50°C
20141019085442,关,关,关,29°C,0%,0,0分钟,50°C
20141019085448,关,关,关,30°C,0%,0,0分钟,50°C
20141019085500,关,关,关,29°C,0%,0,0分钟,50°C
20141019085507,关,关,关,30°C,0%,0,0分钟,50°C
20141019085525,关,关,关,29°C,0%,0,0分钟,50°C
20141019085531,关,关,关,30°C,0%,0,0分钟,50°C
20141019085543,关,关,关,29°C,0%,0,0分钟,50°C
20141019085549,关,关,关,30°C,0%,0,0分钟,50°C
20141019085625,关,关,关,29°C,0%,0,0分钟,50°C
20141019085631,关,关,关,30°C,0%,0,0分钟,50°C
20141019085637,关,关,关,29°C,0%,0,0分钟,50°C
20141019085643,关,关,关,30°C,0%,0,0分钟,50°C
20141019085738,关,关,关,29°C,0%,0,0分钟,50°C
20141019085750,关,关,关,30°C,0%,0,0分钟,50°C
20141019085846,关,关,关,29°C,0%,0,0分钟,50°C
20141019085851,关,关,关,30°C,0%,0,0分钟,50°C
20141019085857,关,关,关,29°C,0%,0,0分钟,50°C
20141019085903,关,关,关,30°C,0%,0,0分钟,50°C
20141019085921,关,关,关,29°C,0%,0,0分钟,50°C
20141019085927,关,关,关,30°C,0%,0,0分钟,50°C
20141019085957,关,关,关,29°C,0%,0,0分钟,50°C
20141019090003,关,关,关,30°C,0%,0,0分钟,50°C
20141019090009,关,关,关,29°C,0%,0,0分钟,50°C
20141019090021,关,关,关,30°C,0%,0,0分钟,50°C
20141019090027,关,关,关,29°C,0%,0,0分钟,50°C
20141019090040,关,关,关,30°C,0%,0,0分钟,50°C
20141019090158,关,关,关,29°C,0%,0,0分钟,50°C
20141019090204,关,关,关,30°C,0%,0,0分钟,50°C
20141019090217,关,关,关,29°C,0%,0,0分钟,50°C
20141019090223,关,关,关,30°C,0%,0,0分钟,50°C
20141019090253,关,关,关,29°C,0%,0,0分钟,50°C
20141019090259,关,关,关,30°C,0%,0,0分钟,50°C
20141019090524,关,关,关,29°C,0%,0,0分钟,50°C
20141019090530,关,关,关,30°C,0%,0,0分钟,50°C
20141019090555,关,关,关,29°C,0%,0,0分钟,50°C
20141019090601,关,关,关,30°C,0%,0,0分钟,50°C
20141019090655,关,关,关,29°C,0%,0,0分钟,50°C
20141019090701,关,关,关,30°C,0%,0,0分钟,50°C
20141019090707,关,关,关,29°C,0%,0,0分钟,50°C
20141019090713,关,关,关,30°C,0%,0,0分钟,50°C
20141019090927,关,关,关,29°C,0%,0,0分钟,50°C
20141019090933,关,关,关,30°C,0%,0,0分钟,50°C
20141019091210,关,关,关,29°C,0%,0,0分钟,50°C
20141019091216,关,关,关,30°C,0%,0,0分钟,50°C
20141019094606,关,关,关,29°C,0%,0,0分钟,50°C
20141019094636,关,关,关,29°C,0%,0,0分钟,50°C
20141019094638,关,关,关,29°C,0%,16,0分钟,50°C
20141019094640,关,关,关,29°C,0%,13,0分钟,50°C
20141019094658,关,关,关,29°C,0%,0,0分钟,50°C
20141019094715,关,关,关,29°C,0%,20,0分钟,50°C
20141019111443,关,关,关,29°C,0%,0,0分钟,50°C
20141019111448,关,关,关,29°C,0%,0,0分钟,50°C
20141019111453,关,关,关,29°C,0%,0,0分钟,50°C
20141019111458,关,关,关,29°C,0%,0,0分钟,50°C
20141019111503,关,关,关,29°C,0%,0,0分钟,50°C
20141019111508,关,关,关,29°C,0%,0,0分钟,50°C
20141019111513,关,关,关,29°C,0%,0,0分钟,50°C
20141019111518,关,关,关,29°C,0%,0,0分钟,50°C
20141019111524,关,关,关,29°C,0%,0,0分钟,50°C
20141019111529,关,关,关,29°C,0%,0,0分钟,50°C
20141019111534,关,关,关,29°C,0%,0,0分钟,50°C
20141019111543,关,关,关,29°C,0%,0,0分钟,50°C
20141019111547,关,关,关,29°C,0%,0,0分钟,50°C
20141019111551,关,关,关,29°C,0%,0,0分钟,50°C
20141019111555,关,关,关,29°C,0%,0,0分钟,50°C
20141019111600,关,关,关,29°C,0%,0,0分钟,50°C
20141019111604,关,关,关,29°C,0%,0,0分钟,50°C
20141019111609,关,关,关,29°C,0%,0,0分钟,50°C
20141019115012,关,关,关,29°C,0%,0,0分钟,50°C
20141019115017,关,关,关,29°C,0%,22,0分钟,50°C
20141019132821,关,关,关,29°C,0%,0,0分钟,50°C
20141019135619,关,关,关,29°C,0%,0,0分钟,50°C
20141019135621,关,关,关,29°C,0%,8,0分钟,50°C
20141019141107,关,关,关,29°C,0%,0,0分钟,50°C
20141019153433,关,关,关,29°C,0%,0,0分钟,50°C
20141019153439,关,关,关,29°C,0%,36,0分钟,50°C
20141019153440,关,关,关,29°C,0%,32,0分钟,50°C
20141019153445,关,关,关,29°C,0%,31,0分钟,50°C
20141019153447,关,关,关,29°C,0%,32,0分钟,50°C
20141019153449,关,关,关,29°C,0%,31,0分钟,50°C
20141019153453,关,关,关,29°C,0%,32,0分钟,50°C
20141019153459,关,关,关,29°C,0%,42,0分钟,50°C
20141019153503,关,关,关,29°C,0%,43,0分钟,50°C
20141019153505,关,关,关,29°C,0%,40,0分钟,50°C
20141019153515,关,关,关,29°C,0%,32,0分钟,50°C
20141019153517,关,关,关,29°C,0%,31,0分钟,50°C
20141019153521,关,关,关,29°C,0%,32,0分钟,50°C
20141019153524,关,关,关,29°C,0%,31,0分钟,50°C
20141019153532,关,关,关,29°C,0%,30,0分钟,50°C
20141019153534,关,关,关,29°C,0%,28,0分钟,50°C
20141019153540,关,关,关,29°C,0%,30,0分钟,50°C
20141019153542,关,关,关,29°C,0%,31,0分钟,50°C
20141019153546,关,关,关,29°C,0%,30,0分钟,50°C
20141019153548,关,关,关,29°C,0%,28,0分钟,50°C
20141019153604,关,关,关,29°C,0%,30,0分钟,50°C
20141019153606,关,关,关,29°C,0%,31,0分钟,50°C
20141019153608,关,关,关,29°C,0%,30,0分钟,50°C
20141019153610,关,关,关,29°C,0%,31,0分钟,50°C
20141019153620,关,关,关,29°C,0%,30,0分钟,50°C
20141019153622,关,关,关,29°C,0%,31,0分钟,50°C
20141019153632,关,关,关,29°C,0%,30,0分钟,50°C
20141019153634,关,关,关,29°C,0%,31,0分钟,50°C
20141019153638,关,关,关,29°C,0%,30,0分钟,50°C
20141019153640,关,关,关,29°C,0%,31,0分钟,50°C
20141019153650,关,关,关,29°C,0%,30,0分钟,50°C
20141019153652,关,关,关,29°C,0%,31,0分钟,50°C
20141019153654,关,关,关,29°C,0%,25,0分钟,50°C
20141019153700,关,关,关,29°C,0%,21,0分钟,50°C
20141019153702,关,关,关,29°C,0%,20,0分钟,50°C
20141019153706,关,关,关,29°C,0%,18,0分钟,50°C
20141019153719,关,关,关,29°C,0%,17,0分钟,50°C
20141019153721,关,关,关,29°C,0%,18,0分钟,50°C
20141019153729,关,关,关,29°C,0%,17,0分钟,50°C
20141019153731,关,关,关,29°C,0%,18,0分钟,50°C
20141019153737,关,关,关,29°C,0%,17,0分钟,50°C
20141019153739,关,关,关,29°C,0%,18,0分钟,50°C
20141019153741,关,关,关,29°C,0%,11,0分钟,50°C
20141019153747,关,关,关,29°C,0%,0,0分钟,50°C
20141019153757,开,开,关,29°C,0%,0,25分钟,50°C
20141019153759,开,开,关,29°C,0%,43,25分钟,50°C
20141019153801,开,开,关,29°C,0%,48,25分钟,50°C
20141019153825,开,开,关,29°C,0%,50,25分钟,50°C
20141019153831,开,开,关,29°C,0%,48,25分钟,50°C
20141019153833,开,开,关,29°C,0%,51,25分钟,50°C
20141019153835,开,开,关,29°C,0%,50,25分钟,50°C
20141019153837,开,开,关,29°C,0%,48,25分钟,50°C
